method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
Glass-NSG-DiskPort,4.0,160,1,0.9372888888888299,25.006329872285637,4540.214777777778,4540.214777777778,18596719.72977778,1095220.4310606625,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,240,1,0.9386444444443846,18.3655532826811,6215.837777777778,6215.837777777778,25460071.537777778,1558245.6314438868,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,400,1,0.9398666666666061,12.317023483147159,9289.437555555556,9289.437555555556,38049536.22755556,2415467.755008667,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,580,1,0.9405111111110501,9.177679796208864,12471.483777777778,12471.483777777778,51083197.55377778,3304940.334196111,259547136,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,10,4,0.9331444444444185,765.3487489250189,28.739555555555555,28.739555555555555,117717.21955555555,41698.62073166675,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,20,4,0.9686555555555382,502.72864190004543,45.02422222222222,45.02422222222222,184419.21422222222,63368.06516144461,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,40,4,0.9860111111111003,282.37567296296305,79.46666666666667,79.46666666666667,325495.4666666667,113118.1089851116,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,60,4,0.9917555555555478,197.33573114676372,114.802,114.802,470228.992,161788.87745122233,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,100,4,0.9956666666666616,120.91437154427832,186.35933333333332,186.35933333333332,763327.8293333333,264165.1823578883,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,160,4,0.997577777777775,76.18588982119263,294.4497777777778,294.4497777777778,1206066.2897777779,419289.156592,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,240,4,0.9985999999999986,51.37328420935021,439.1462222222222,439.1462222222222,1798742.9262222222,622266.031204002,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,400,4,0.99931111111111,30.72023991396529,729.0137777777778,729.0137777777778,2986040.433777778,1040246.5000743329,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,580,4,0.9995333333333328,21.464828142575445,1055.7173333333333,1055.7173333333333,4324218.197333333,1488470.4011685543,1786396672,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
