dataset,search_width,db1_checks,db1_survivors,other_read_pages
gist,580,19249.57625,3967.92125,303.58500000000004
dbpedia,10,866.893888889,287.119,-8.881784197001252e-15
dbpedia,11,903.602777778,297.219555556,-5.329070518200751e-15
dbpedia,12,939.644,306.737111111,8.881784197001252e-15
dbpedia,13,974.833,315.732444444,8.881784197001252e-15
dbpedia,14,1008.603555556,324.397,7.105427357601002e-15
dbpedia,15,1042.901222222,332.753222222,-1.0000409389476772e-09
dbpedia,16,1077.332,340.809222222,-8.881784197001252e-15
dbpedia,17,1110.818222222,348.643333333,-2.4868995751603507e-14
dbpedia,18,1143.963111111,356.233444444,-1.0658141036401503e-14
dbpedia,19,1177.140222222,363.662,4.263256414560601e-14
dbpedia,20,1210.762333333,370.926777778,-1.4210854715202004e-14
dbpedia,21,1242.769222222,377.903,3.552713678800501e-15
dbpedia,22,1275.934555556,384.871777778,1.4210854715202004e-14
dbpedia,23,1307.764555556,391.562444444,-1.0658141036401503e-14
dbpedia,24,1339.544666667,398.157333333,-1.7763568394002505e-14
dbpedia,25,1370.804,404.604555556,-2.4868995751603507e-14
dbpedia,26,1402.175888889,410.929111111,3.907985046680551e-14
dbpedia,27,1433.374777778,417.191222222,1.000000082740371e-09
dbpedia,28,1464.461777778,423.335222222,-2.1316282072803006e-14
dbpedia,29,1494.989666667,429.347222222,3.552713678800501e-15
dbpedia,30,1525.527555556,435.207666667,-2.842170943040401e-14
dbpedia,40,1822.512444444,489.976555556,-4.263256414560601e-14
dbpedia,50,2106.349222222,539.192111111,1.4210854715202004e-14
dbpedia,60,2381.003333333,584.490222222,0.0
dbpedia,70,2647.223555556,626.488111111,-9.999325811804738e-10
dbpedia,80,2906.794444444,666.486444444,-2.842170943040401e-14
dbpedia,90,3160.161666667,705.135333333,0.0
dbpedia,100,3407.124,742.626888889,-4.263256414560601e-14
dbpedia,140,4355.902,884.940222222,0.0012222220000523976
dbpedia,180,5252.608333333,1019.855555556,0.09799999999994213
dbpedia,220,6110.611555556,1150.735555556,0.8702222220000806
dbpedia,260,6937.881333333,1278.916111111,3.7183333329999897
dbpedia,300,7741.052222222,1405.084444444,10.361555555999942
dbpedia,340,8524.724222222,1530.271555556,22.51622222199991
dbpedia,380,9290.394555556,1654.196666667,40.88900000000001
dbpedia,420,10040.007,1777.121777778,65.65433333400011
dbpedia,460,10774.619555556,1899.422333333,95.89577777699984
dbpedia,500,11496.468222222,2020.840666667,130.13488888799986
dbpedia,540,12206.432666667,2141.621777778,167.5013333330001
dbpedia,580,12907.379111111,2261.762888889,207.1440000000002
