config_id,search_param,search_width,effective_search_width,ablation,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,index_size_mb,resident_bytes,peak_rss_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,dataset,method,source_row,qps_units,p95_ms,read_mib,formal_ready,workers,cache_mode,repeat_id,source_run_id,binary_sha256,query_split_sha256
beam1,340,340,340,db1+coalescing+reuse,1,0.994375,75.650221545,419885.9966825,397826.752,630164.349,743158.861,1363.786890984,116950160,566366208,1324.51625,1393.32125,5707043.84,319712.45323,5908.55796625,105.24842875,3825.3539125,20593.85126,7764.36,1602.495,7763.36,1601.495,1602.495,1273.145,100.0,97.1425,800,agnews,Ours-Disk,33,queries/s,630.164349,5.4426611328125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,380,380,380,db1+coalescing+reuse,1,0.994375,70.596757182,448880.420915001,430851.064,676284.629,752489.94,1363.786890984,116950160,566366208,1458.51375,1528.4375,6260480.0,354408.9120225,5903.25294125,105.23751375,4292.64107625,17866.00956,8490.7625,1741.02875,8489.7625,1740.02875,1741.02875,1386.885,100.0,101.42875,800,agnews,Ours-Disk,34,queries/s,676.284629,5.970458984375,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,420,420,420,db1+coalescing+reuse,1,0.994375,64.990303998,489476.79642625,481968.603,751344.757,831145.975,1363.786890984,116950160,566366208,1598.765,1669.90625,6839936.0,387917.685459999,6453.61965,105.15596625,4486.06002375,18016.45969625,9207.965,1878.88,9206.965,1877.88,1878.88,1500.42875,100.0,106.9875,800,agnews,Ours-Disk,35,queries/s,751.344757,6.5230712890625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,460,460,460,db1+coalescing+reuse,1,0.994375,59.519813601,533749.36914625,519151.982,832558.812,919088.218,1363.786890984,116950160,566366208,1744.67,1817.19125,7443215.36,421460.554310001,7223.912445,103.7636975,4724.530105,18307.80834625,9909.03125,2016.465,9908.03125,2015.465,2016.465,1614.6825,100.0,113.6,800,agnews,Ours-Disk,36,queries/s,832.558812,7.0984033203125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,500,500,500,db1+coalescing+reuse,1,0.994375,54.308104586,584092.530115,570064.398,919648.335,1066953.509,1363.786890984,116950160,566366208,1895.29,1969.14875,8065633.28,455668.31044875,8219.26907875,104.47693,5101.10120125,18684.60758375,10598.7325,2153.56125,10597.7325,2152.56125,2153.56125,1729.68875,100.0,120.82625,800,agnews,Ours-Disk,37,queries/s,919.648335,7.6919873046875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,540,540,540,db1+coalescing+reuse,1,0.994375,51.515201864,616472.78839375,608674.047,934412.329,1069531.251,1363.786890984,116950160,566366208,2048.06,2123.32125,8697123.84,496376.532311251,7939.62912625,106.8421825,5567.33994625,16463.18495,11277.63,2289.72875,11276.63,2288.72875,2289.72875,1844.495,100.0,128.15375,800,agnews,Ours-Disk,38,queries/s,934.412329,8.2942236328125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,580,580,580,db1+coalescing+reuse,1,0.994375,49.875974993,637243.60248125,652133.238,937298.88,1038923.776,1363.786890984,116950160,566366208,2201.92875,2278.51125,9332782.08,538243.24692875,6830.9792625,106.6760575,5648.03185625,13145.53478875,11953.185,2425.09,11952.185,2424.09,2425.09,1959.1225,100.0,134.925,800,agnews,Ours-Disk,39,queries/s,937.29888,8.9004345703125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,10,10,,,1,0.9498749999999981,210.38711453926453,149740.31511125003,156236.566,235074.80299999999,280513.389,6387.501987457275,393924616,556142592,33.2225,33.2225,136079.36,144503.275,1510.30375,2497.50125,0.0,0.0,925.85875,925.85875,,,,,,,800,agnews,DiskANN-PQ-Disk,0,queries/s,235.07480299999997,0.129775390625,False,32,c0,0,native_integration_query_cache,daff1bfb8e7fce43fd5c4f8ca2651d7e21661efa927dce846e97f1ba88fcb77b,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,11,11,,,1,0.9607499999999983,179.92599228757982,175037.2454037501,174984.303,258933.72599999997,294955.658,6387.501987457275,393924616,569737216,35.1525,35.1525,143984.64,169847.69125,1513.0425,2645.83125,0.0,0.0,966.8825,966.8825,,,,,,,800,agnews,DiskANN-PQ-Disk,1,queries/s,258.933726,0.137314453125,False,32,c0,0,native_integration_query_cache,daff1bfb8e7fce43fd5c4f8ca2651d7e21661efa927dce846e97f1ba88fcb77b,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,12,12,,,1,0.9647499999999987,173.13674060135216,180229.9886124999,180086.824,261233.162,311223.474,6387.501987457275,393924616,570974208,36.9775,36.9775,151459.84,175004.57625,1568.43,2638.96,0.0,0.0,1004.5025,1004.5025,,,,,,,800,agnews,DiskANN-PQ-Disk,2,queries/s,261.233162,0.144443359375,False,32,c0,0,native_integration_query_cache,daff1bfb8e7fce43fd5c4f8ca2651d7e21661efa927dce846e97f1ba88fcb77b,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
