method,search_width,recall_resident,recall_payload_on_ssd,latency_us_resident,latency_us_payload_on_ssd,io_requests_payload_on_ssd,sectors_4k_payload_on_ssd,bytes_read_payload_on_ssd
SQ_4bit,540,1.0,1.0,4439.9164617061615,26705.49228787422,503.0,592.0,2424832.0
SQ_4bit,580,1.0,1.0,4761.379212141037,28183.098882436752,538.0,634.0,2596864.0
SAQ_B4,10,1.0,1.0,187.4789595603943,848.6434817314148,10.0,12.0,49152.0
SAQ_B4,11,1.0,1.0,167.99941658973694,904.5787155628204,11.0,14.0,57344.0
SAQ_B4,12,0.9,0.9,173.14404249191284,926.4424443244934,12.0,15.0,61440.0
SAQ_B4,13,0.9,0.9,176.42229795455933,978.8945317268372,13.0,17.0,69632.0
SAQ_B4,14,0.9,0.9,180.1624894142151,1025.7624089717865,14.0,18.0,73728.0
SAQ_B4,15,0.9,0.9,185.12457609176636,1045.3909635543823,15.0,19.0,77824.0
SAQ_B4,16,0.9,0.9,189.60237503051758,1129.9587786197662,16.0,20.0,81920.0
SAQ_B4,17,0.9,0.9,196.7884600162506,1163.1771922111511,17.0,21.0,86016.0
SAQ_B4,18,0.9,0.9,200.55100321769714,1189.6602809429169,18.0,22.0,90112.0
SAQ_B4,19,0.9,0.9,207.21182227134705,1234.680414199829,19.0,24.0,98304.0
SAQ_B4,20,0.9,0.9,215.93645215034485,1339.3424451351166,20.0,25.0,102400.0
SAQ_B4,21,0.9,0.9,217.08011627197266,1417.268067598343,21.0,26.0,106496.0
SAQ_B4,22,0.9,0.9,227.11604833602905,1411.4715158939362,22.0,28.0,114688.0
SAQ_B4,23,0.9,0.9,226.4939248561859,1463.036984205246,23.0,29.0,118784.0
SAQ_B4,24,0.9,0.9,234.14567112922668,1486.2120151519775,24.0,30.0,122880.0
SAQ_B4,25,0.9,0.9,236.86140775680542,1543.9428389072418,25.0,32.0,131072.0
SAQ_B4,26,0.9,0.9,238.81718516349792,6622.921675443649,26.0,33.0,135168.0
SAQ_B4,27,0.9,0.9,251.22612714767456,10476.209223270416,27.0,34.0,139264.0
SAQ_B4,28,0.9,0.9,255.30904531478882,5516.063421964645,28.0,35.0,143360.0
SAQ_B4,29,0.9,0.9,258.09183716773987,10623.246431350708,29.0,36.0,147456.0
SAQ_B4,30,0.9,0.9,263.4376287460327,1766.8604850769043,30.0,37.0,151552.0
SAQ_B4,40,0.9,0.9,315.5320882797241,2191.1412477493286,39.0,47.0,192512.0
SAQ_B4,50,0.9,0.9,354.8450767993927,2581.6671550273895,48.0,58.0,237568.0
SAQ_B4,60,0.9,0.9,383.7905824184418,8126.51589512825,58.0,68.0,278528.0
SAQ_B4,70,0.9,0.9,473.659485578537,16056.537628173828,68.0,78.0,319488.0
SAQ_B4,80,0.9,0.9,529.2817950248718,3830.2987813949585,78.0,88.0,360448.0
SAQ_B4,90,0.9,0.9,590.0710821151733,4142.645746469498,87.0,97.0,397312.0
SAQ_B4,100,0.9,0.9,624.828040599823,4607.364535331726,96.0,110.0,450560.0
SAQ_B4,140,0.9,0.9,841.3270115852356,6522.383540868759,135.0,152.0,622592.0
SAQ_B4,180,0.9,0.9,1011.6510093212128,8274.566382169724,171.0,192.0,786432.0
SAQ_B4,220,0.9,0.9,1175.377517938614,9888.850152492523,208.0,236.0,966656.0
SAQ_B4,260,0.9,0.9,1283.254474401474,11459.913104772568,246.0,284.0,1163264.0
SAQ_B4,300,0.9,0.9,1503.1807124614716,13409.510254859924,284.0,327.0,1339392.0
SAQ_B4,340,0.9,0.9,1675.7138073444366,14988.824725151062,320.0,368.0,1507328.0
SAQ_B4,380,0.9,0.9,1836.7022275924683,16547.65009880066,357.0,414.0,1695744.0
SAQ_B4,420,0.9,0.9,2058.509737253189,18572.282046079636,394.0,458.0,1875968.0
SAQ_B4,460,0.9,0.9,2148.643136024475,20051.199942827225,431.0,502.0,2056192.0
SAQ_B4,500,0.9,0.9,2377.934753894806,26011.038571596146,468.0,549.0,2248704.0
